FolderPath,ShareName,DomainLocalGroup,Permissions
D:\FedYYC-Newsletter,FedYYC-Newsletter$,FedYYC-Newsletter-Admin-L-RW,Change
D:\FedYYC-Newsletter,FedYYC-Newsletter$,FedYYC-Newsletter-CAContent-L-RW,Change
D:\FedYYC-Newsletter,FedYYC-Newsletter$,FedYYC-Newsletter-GetEngaged-L-RW,Change
D:\FedYYC-Newsletter,FedYYC-Newsletter$,FedYYC-Newsletter-Internal-L-RW,Change
D:\FedYYC-Newsletter,FedYYC-Newsletter$,FedYYC-Newsletter-NPC-L-RW,Change
D:\FedYYC-Newsletter,FedYYC-Newsletter$,FedYYC-Newsletter-PeertoPeer-L-RW,Change
D:\FedYYC-Newsletter,FedYYC-Newsletter$,FedYYC-Newsletter-YourMomentInPlanning-L-RW,Change
D:\FedYYC-One-on-One Support,FedYYC-OneonOneSupport$,FedYYC-OneonOneSupport-Root-L-RO,Read
D:\FedYYC-One-on-One Support,FedYYC-OneonOneSupport$,FedYYC-OneonOneSupport-Root-L-RW,Change
D:\FedYYC-Partners In Planning,FedYYC-PartnersInPlanning$,FedYYC-PartnersInPlanning-Root-L-RO,Read
D:\FedYYC-Partners In Planning,FedYYC-PartnersInPlanning$,FedYYC-PartnersInPlanning-Root-L-RW,Change
D:\FedYYC-Social Media,FedYYC-SocialMedia$,FedYYC-SocialMedia-Root-L-RO,Read
D:\FedYYC-Social Media,FedYYC-SocialMedia$,FedYYC-SocialMedia-Root-L-RW,Change
D:\FedYYC-Urban Planning Topics,FedYYC-UrbanPlanningTopics$,FedYYC-UrbanPlanningTopics-Root-L-RO,Read
D:\FedYYC-Urban Planning Topics,FedYYC-UrbanPlanningTopics$,FedYYC-UrbanPlanningTopics-Root-L-RW,Change
D:\FedYYC-Website,FedYYC-Website$,FedYYC-Website-Root-L-RO,Read
D:\FedYYC-Website,FedYYC-Website$,FedYYC-Website-Root-L-RW,Change
D:\FedYYC-Workshops,FedYYC-Workshops$,FedYYC-Workshops-Root-L-RO,Read
D:\FedYYC-Workshops,FedYYC-Workshops$,FedYYC-Workshops-Root-L-RW,Change
